Driving 'shoulder_actuator' -> 'shoulder_joint' through 9 safe waypoints

    time   target     qpos     qvel
   0.200   -1.257   -1.447    2.997
   0.400   -0.628   -0.484   -1.971
   0.600    0.000    0.130   -0.346
   0.800    0.628    0.808   -0.924
   1.000    1.257    1.460   -0.943
   1.200    0.628    0.471    1.474
   1.400    0.000   -0.122    0.320
   1.600   -0.628   -0.809    0.787
   1.800   -1.257   -1.451    0.680

Isolation check on 'elbow_joint': 0.0000 -> -0.0562
(should stay close to its start -- proves the actuator is driving only the intended joint)
